event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,state_code,US_State,Abbreviation
20130508X82031,Accident,2013-05-02,"Bellingham, WA",United States,Non-Fatal,Substantial,Airplane,Adolphson,CCK-1865,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,WA,Washington,WA
20130509X61217,Accident,2013-05-02,"Gainesville, MO",United States,Non-Fatal,Substantial,Airplane,Hook,Zodiac CH-650,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,MO,Missouri,MO
20130506X13037,Accident,2013-05-06,"Easton, MN",United States,Fatal,Substantial,Airplane,ESKILDSEN,STEEN SKYBOLT,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,MN,Minnesota,MN
20130509X72539,Accident,2013-05-07,"Meriden, CT",United States,Non-Fatal,Substantial,Airplane,HUGHES CHARLES R,ZODIAC 601XL,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,CT,Connecticut,CT
20130513X15143,Accident,2013-05-10,"Taos, NM",United States,Non-Fatal,Substantial,Airplane,PHILLIPS,Zenith 250,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,NM,New Mexico,NM
20130513X82749,Accident,2013-05-11,"Windsor, NC",United States,Non-Fatal,Substantial,Airplane,STEELE RALPH BRUCE,STEEN SKYBOLT,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,NC,North Carolina,NC
20130529X80542,Accident,2013-05-11,"Hamilton, OH",United States,Non-Fatal,Substantial,Airplane,"ANKESTAR, BRADLEY D.",RAND-ROBINSON KR2,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,OH,Ohio,OH
20130606X83147,Accident,2013-05-12,"Henderson, NC",United States,Non-Fatal,Substantial,Glider,PDPS PZL-BIELSKO,SZD-55-1,Yes,0.0,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,NC,North Carolina,NC
20130517X02521,Accident,2013-05-17,"Lynden, WA",United States,Non-Fatal,Substantial,Airplane,SWANSON,TIGER MOTH 80,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,WA,Washington,WA
20130521X01900,Accident,2013-05-18,"Cleveland, GA",United States,Non-Fatal,Substantial,Airplane,THOMAS DAVID W,RANS S-12 XL,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Unknown,GA,Georgia,GA
20130529X91939,Accident,2013-05-18,"Aztec, NM",United States,Fatal,Destroyed,Airplane,PECK NORMAN O,PECK P-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,NM,New Mexico,NM
20150224X10826,Incident,2013-05-19,"Cadiz, Spain",Spain,Non-Fatal,Minor,Airplane,TOMISIN THOMAS J,RUTAN LONG EZ,Yes,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,Unknown,Unknown,Spain,,
20130528X55441,Accident,2013-05-22,"Greeley, CO",United States,Non-Fatal,Substantial,Airplane,ALLEN JAN A,CHALLENGER II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,CO,Colorado,CO
20130610X12920,Accident,2013-05-25,"West Palm Beach, FL",United States,Non-Fatal,Substantial,Airplane,BOSWELL JOHN J,AIR CAM 912S,Yes,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Unknown,FL,Florida,FL
20130526X80753,Accident,2013-05-26,"Naples, FL",United States,Non-Fatal,Substantial,Airplane,FLEMING ELDRIDGE E,SONEX,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,FL,Florida,FL
20130604X12107,Accident,2013-05-26,"Fruitland, ID",United States,Non-Fatal,Substantial,Airplane,Dressen,Escape LS,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,ID,Idaho,ID
20130601X50034,Accident,2013-06-01,"Doylestown, PA",United States,Fatal,Substantial,Airplane,WILSON WILLIAM M,CRICKET MC12,Yes,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Unknown,PA,Pennsylvania,PA
20130604X82326,Accident,2013-06-01,"Galt, CA",United States,Non-Fatal,Substantial,Airplane,Wampach,Murphy Moose,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,CA,California,CA
20130604X25605,Accident,2013-06-03,"Cookson, OK",United States,Non-Fatal,Substantial,Airplane,Cub Crafters,CCK,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,OK,Oklahoma,OK
